store_id,store_code,store_name,channel,hc,region,province,mcp,isActive,createdAt,createdBy,updatedBy
52007635,6083,DMM_QNI_BLI - Binh Lieu,DMX,0,North,Quang Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007787,6173,DMM_HCM_BTH - 237 No Trang Long,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008002,6174,DMM_STR_KSA - Ke Sach,DMX,0,Mekong,Soc Trang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007734,6242,DMM_HCM_Q07 - 6G Lam Van Ben,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007728,6300,DMM_QNG_BSO - Binh Chanh (Doc Soi),DMX,0,Central,Quang Ngai,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007729,6329,DMM_DNA_HVA - Tuy Loan,DMX,0,Central,Da Nang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007901,6352,DMM_NAN_DCH - Dien Chau,DMX,0,North,Nghe An,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008084,6983,DMM_HNO_THO - 659 Lac Long Quan,DMX,0,North,Ha Noi,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008024,7017,DMM_HCM_Q01 - 130 Tran Quang Khai,DMX,0,South,Ho Chi Minh,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008111,7025,DMM_HCM_BCH - Qui Duc (Cau Ong Thin),DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008126,7050,DMM_BDI_ALA - An Hoa,DMX,0,Central,Binh Dinh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008026,7051,DMS_TGI_CBE - An Thai Dong (Cho Co Co),DMX,0,Mekong,Tien Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
70243125,7135,DMM_KGI_HTI - Phao Dai (Ha Tien),DMX,0,Mekong,Kien Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007045,4909,DMM_HCM_HMO - 22/3C Do Van Day,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007030,4923,DMM_DON_BHO - 2148 Nguyen Ai Quoc (Hoa An),DMX,0,South,Dong Nai,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007190,4931,DMM_HYE_VGI - Van Giang,DMX,0,North,Hung Yen,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007032,4999,DMM_DLA_KNA - Ea Toh,DMX,0,Central,Dak Lak,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
